Using cpu device
---------------------------------
| rollout/           |          |
|    time_elapsed         | 671         |
|    total_timesteps      | 1048576     |
| train/                  |             |
|    approx_kl            | 0.010259394 |
|    clip_fraction        | 0.209       |
|    clip_range           | 0.15        |
|    entropy_loss         | -24.4       |
|    explained_variance   | 0.964       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.259      |
|    n_updates            | 225         |
|    policy_gradient_loss | -0.0226     |
|    std                  | 1.02        |
|    value_loss           | 0.0329      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 77.9        |
|    ep_rew_mean          | 377         |
| time/                   |             |
|    fps                  | 1553        |
|    iterations           | 17          |
|    time_elapsed         | 717         |
|    total_timesteps      | 1114112     |
| train/                  |             |
|    approx_kl            | 0.010690909 |
|    clip_fraction        | 0.216       |
|    clip_range           | 0.15        |
|    entropy_loss         | -24.5       |
|    explained_variance   | 0.966       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.249      |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0225     |
|    std                  | 1.02        |
|    value_loss           | 0.031       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 83.6       |
|    ep_rew_mean          | 405        |
| time/                   |            |
|    fps                  | 1553       |
|    iterations           | 18         |
|    time_elapsed         | 759        |
|    total_timesteps      | 1179648    |
| train/                  |            |
|    approx_kl            | 0.01064655 |
|    clip_fraction        | 0.217      |
|    clip_range           | 0.15       |
|    entropy_loss         | -24.5      |
|    explained_variance   | 0.967      |
|    learning_rate        | 0.0001     |
|    loss                 | -0.247     |
|    n_updates            | 255        |
|    policy_gradient_loss | -0.0219    |
|    std                  | 1.02       |
|    value_loss           | 0.03       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 80.8        |
|    ep_rew_mean          | 393         |
| time/                   |             |
|    fps                  | 1546        |
|    iterations           | 19          |
|    time_elapsed         | 804         |
|    total_timesteps      | 1245184     |
| train/                  |             |
|    approx_kl            | 0.010939125 |
|    clip_fraction        | 0.222       |
|    clip_range           | 0.15        |
|    entropy_loss         | -24.5       |
|    explained_variance   | 0.967       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.265      |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0222     |
|    std                  | 1.03        |
|    value_loss           | 0.0295      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 78.4        |
|    ep_rew_mean          | 383         |
| time/                   |             |
|    fps                  | 1542        |
|    iterations           | 20          |
|    time_elapsed         | 849         |
|    total_timesteps      | 1310720     |
| train/                  |             |
|    approx_kl            | 0.010645796 |
|    clip_fraction        | 0.215       |
|    clip_range           | 0.15        |
|    entropy_loss         | -24.6       |
|    explained_variance   | 0.967       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.26       |
|    n_updates            | 285         |
|    policy_gradient_loss | -0.0219     |
|    std                  | 1.03        |
|    value_loss           | 0.0281      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 85.4        |
|    ep_rew_mean          | 412         |
| time/                   |             |
|    fps                  | 1537        |
|    iterations           | 21          |
|    time_elapsed         | 894         |
|    total_timesteps      | 1376256     |
| train/                  |             |
|    approx_kl            | 0.010981434 |
|    clip_fraction        | 0.219       |
|    clip_range           | 0.15        |
|    entropy_loss         | -24.6       |
|    explained_variance   | 0.969       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.25       |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.0217     |
|    std                  | 1.03        |
|    value_loss           | 0.0272      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 80.8        |
|    ep_rew_mean          | 394         |
| time/                   |             |
|    fps                  | 1532        |
|    iterations           | 22          |
|    time_elapsed         | 940         |
|    total_timesteps      | 1441792     |
| train/                  |             |
|    approx_kl            | 0.010960799 |
|    clip_fraction        | 0.221       |
|    clip_range           | 0.15        |
|    entropy_loss         | -24.6       |
|    explained_variance   | 0.97        |
|    learning_rate        | 0.0001      |
|    loss                 | -0.251      |
|    n_updates            | 315         |
|    policy_gradient_loss | -0.0214     |
|    std                  | 1.03        |
|    value_loss           | 0.0257      |
-----------------------------------------
